category,sub-category,r,g,b
ssp_cat_2,ssp119,30,150,132
ssp_cat_2,ssp126,29,51,84
ssp_cat_2,ssp245,234,221,61
ssp_cat_2,ssp370,242,17,17
ssp_cat_2,ssp3low,242,17,17
ssp_cat_2,ssp434,99,189,229
ssp_cat_2,ssp460,232,136,49
ssp_cat_2,ssp534os,154,109,201
ssp_cat_2,ssp585,132,11,34
