category,sub-category,r,g,b
spectrum_cat,Spectrum,127,68,170
spectrum_cat,Spectrum,48,79,191
spectrum_cat,Spectrum,54,156,232
spectrum_cat,Spectrum,36,147,126
spectrum_cat,Spectrum,236,209,81
spectrum_cat,Spectrum,237,128,55
spectrum_cat,Spectrum,204,64,74
