category,sub-category,r,g,b
ssp_cat_1,SSP1,30,150,132
ssp_cat_1,SSP2,69,118,191
ssp_cat_1,SSP3,242,17,17
ssp_cat_1,SSP4,232,136,49
ssp_cat_1,SSP5,128,54,168
