category,sub-category,r,g,b
green-blue_cat,green-blue,51,34,136
green-blue_cat,green-blue,17,119,51
green-blue_cat,green-blue,136,204,238
green-blue_cat,green-blue,153,153,51
green-blue_cat,green-blue,68,170,153
green-blue_cat,green-blue,102,153,204
