category,sub-category,r,g,b
dark_cat,Dark,221,84,46
dark_cat,Dark,33,52,219
dark_cat,Dark,53,165,197
dark_cat,Dark,170,24,24
dark_cat,Dark,8,46,114
dark_cat,Dark,236,156,46
dark_cat,Dark,50,127,81
dark_cat,Dark,128,54,168
