category,sub-category,r,g,b
chem_cat,co2,127,0,137
chem_cat,ch4,173,94,0
chem_cat,n2o,0,142,131
chem_cat,GHG general,0,112,192
chem_cat,aero,102,102,95
chem_cat,Oz,229,218,71
