category,sub-category,r,g,b
bright_cat,Bright,242,83,197
bright_cat,Bright,137,88,232
bright_cat,Bright,247,242,79
bright_cat,Bright,78,188,249
bright_cat,Bright,244,127,81
bright_cat,Bright,93,237,86
